apartment_id,address,city,state,zipcode,bedrooms,bathrooms,rent,pets_allowed,furnished,availability,lease_type,short_term_rent,amenities,accessibility_resources,nearby_attractions,owner_contact,owner name
21,"789 Sunset Blvd, Los Angeles, CA, 90004",Los Angeles,CA,90004,2,2,3700,Yes,No,November 1st,Short Term,4700,"WiFi, Kitchen, Free parking",Public transportation nearby,"Hollywood Walk of Fame, Griffith Observatory, Hollywood Sign, Rodeo Drive, The Getty Center",15678401254,Joseph Walker
22,"456 Lakeside Dr, Chicago, IL, 60605",Chicago,IL,60605,3,2,3800,Yes,Yes,December 1st,Long Term,4800,"WiFi, Kitchen, Washing machine and dryer, Free parking",Wheelchair ramp,"Millennium Park, Navy Pier, Art Institute of Chicago, Grant Park, Field Museum",14444901234,Mary Allen
23,"202 Ocean Ave, San Francisco, CA, 94102",San Francisco,CA,94102,1,1,2600,Yes,Yes,January 1st,Short Term,3600,"WiFi, Kitchen, Washing machine and dryer, Free parking",Wheelchair accessible entrance,"Golden Gate Park, Fisherman's Wharf, Alcatraz Island, Chinatown, University of California, San Francisco",15778801234,William Young
24,"333 Hilltop Rd, Boston, MA, 02108",Boston,MA,2108,2,1.5,3400,No,Yes,February 1st,Long Term,4400,"WiFi, Kitchen, Free parking","Elevator, Wheelchair ramp","Freedom Trail, Fenway Park, Harvard University, Boston Common, Boston Tea Party Ships & Museum",12678999234,Andy Li
25,"444 Coastal Way, Miami, FL, 33109",Miami,FL,33109,2,1,3500,Only Service Animals,,,,,,,,,
26,"555 Forest Dr, Seattle, WA, 98102",Seattle,WA,98102,1,1,3300,No,,,,,,,,,
27,"666 Highland Ave, Denver, CO, 80203",Denver,CO,80203,3,2,4200,No,,,,,,,,,
28,"777 Valley Rd, Boston, MA, 02109",Boston,MA,2109,2,1,3100,Yes,,,,,,,,,
29,"888 Canyon St, New York, NY, 10005",New York,NY,10005,2,1.5,3600,No,,,,,,,,,
30,"999 Riverview Ave, Los Angeles, CA, 90005",Los Angeles,CA,90005,2,2,3900,Only Service Animals,,,,,,,,,
